gloss,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku,set
lick(v)_3,l,l,l,l,l,x,0,l,l,l,ɽ,l,l1-2
winnow(v)_1,g,g,x,g,g,g,g,g,g,g,g,g,g1
winnow(v)_2,u,u,x,i,u,u,o,u,u,u,u,u,
winnow(v)_3,m,m,x,m,m,ŋ/ɲ,ŋ,m,m,m,m,m,m2a
sow(v)_1,b,b,b,b,b,b,b,b,b,b,,b,b1
sow(v)_2,u,ü,i,i,i,i,i,i,i,i,,i,
sow(v)_3,ˀd,d,ʔ,ɽ,ˀɖ,r,g,t',d',ɖ,,ʈ,ˀt1-1b
boil(v)_1,a,ə,0,i,i,x,0,i,i,i,i,i,
boil(v)_2,s,s,s,s,s,x,s,s,s,s,s,s,s2
boil(v)_3,i,i,i,i,i,x,i,i,i,i,i,i,i1
boil(v)_3,n,n,ŋ,n,n,x,ŋ,n,n,n,ŋ,n,
cover(v)_1,ɖ,d,ɖ,ɖ,ɖ,ɖ,ɖ,d,d,d,x,d,d1
cover(v)_2,a,a,a,a,a,a,a,a/o̠,a/ā/o,a/o,x,a:,a1
cover(v)_3,l,l,l,l,l,n,0,l,l,l,x,l,l2-1
grab(v)_1,x,x,s,s,x,s,s,s,s,s,s,s,s1o2
grab(v)_2,x,x,o,o,x,ɔ,a,a,a:,a,a:,a:,
grab(v)_3,x,x,p',b,x,b,ʔ,p',b,b,b,p,b2-1
bury(v)_1,t,t,t,t,t,t,x,(t),(t),x,t,x,t1
bury(v)_2,u,i,i,i,i,i,x,(i),(i),x,i:,x,
bury(v)_3,l,l,0,l,l,r,x,(l),(l),x,l,x,l2-2
stand(v)_1,t,t,t,t,t,t,th,t,t,t,x,ʈ,t1-1c
stand(v)_2,i,a,o,u,u,o,wa,e,i,i,x,e,
stand(v)_3,n,n,ŋ,n,ŋ,ŋ,N,ŋg,ŋ,ŋg,x,ng,ŋ4(stand)
stand(v)_4,a,a,0,o,o,o,0,o,u,u,x,e,
stand(v)_5,ŋ,ŋ,0,n,n,n,0,n,n,0,x,n,n4(stand)
die(v)_1,x,x,g,g,g,g,g,g,g,g,g,g,g1
die(v)_2,x,x,o,o,o,ɔ,we,o̠,o,o,oe,o,
die(v)_3,x,x,ĭ,j,ˀj,ɟ,ʔ,c',j,j,j,0,ˀɟ1c
run(v)_1,j,j,0,x,x,x,w,ɲ,n,n,ɲ,n,
run(v)_2,e,e,u,x,x,x,i,i,i,i,i,i,
run(v)_3,r,r,r,x,x,x,r,r,r,r,r,ɽ,r1a
new_1,t,t,t,t,t,x,t,x,x,x,x,x,t1
new_2,e,a,i,i,o,x,0,x,x,x,x,x,
new_3,m,mm,m,m,nm,x,m,x,x,x,x,x,m1b
new_4,i,e,e,e,e,x,i,x,x,x,x,x,
buffalo_1,b,b,b,b,b,x,b,b,x,x,x,b,b1
buffalo_2,o,o,u,o,o,x,u,i,x,x,x,i,
buffalo_3,ŋ,ŋ,ŋ,ŋ,ŋ,x,N,k,x,x,x,kh,ŋ3
buffalo_4,t,t,t,t,t,x,ʈ,t,x,x,x,ʈ,t1-1b
buffalo_5,e,e,e,e,e,x,i,i,x,x,x,i,
buffalo_6,l,l,0,l,l,x,0,l,x,x,x,l,l1
dry_1,a,a,0,u,o,o,0,x,x,x,x,x,
dry_2,s,s,s,s,s,s,s,x,x,x,x,x,s2
dry_3,a,a,o,o,o,o,wa,x,x,x,x,x,
dry_4,r,r,r,r,r,r,r,x,x,x,x,x,r1
bite(v)_1,x,x,0,0,h,x,h,h,h,h,h,kh,(k)h
bite(v)_2,x,x,o,o,a,x,a,a,a:,a,a:,a,
bite(v)_3,x,x,p,p,p,x,ʔ,p',b,b,p,p,b2-1
blow(v)_1,p,p,p,p,p,x,p,ph,x,x,x,x,p1
blow(v)_2,e,e,e,e,ɛ,x,i,e̠,x,x,x,x,
blow(v)_3,ˀd,d,ʔ,d,ˀɖ,x,ʔ,t',x,x,x,x,ˀt1-1a
blood_1,m,m,x,0,0,0,m,m,m,m,x,m,m1-1
blood_2,i,i,x,i,i,i,i,a,a:,a,x,a,
blood_3,0,ɲ,x,0,ɲ,ɲ,0,Ny,y,y,x,y,
blood_4,a,a,x,a,a,a/ɑ,a,a,o,o,x,u,
blood_5,m,m,x,m,m,m,0,m,m,m,x,m,m1c
buy/sell(vt)_1,0,x,s,s,s,s,s,x,x,x,x,x,s1
buy/sell(vt)_2,o,x,u,o,o,o,o,x,x,x,x,x,
