"gloss","","gorum","sora","remo","gutob","kharia","juang","gtaq","santali","mundari","ho","korwa","korku","set_v2","pm_v2","set_v1","pm_v1","cv"
"cut(v)_3","#0013-3","ˀd","d","ʔ","ʔ","ˀɖ","x","ʔ","t'","d'","ɖ","ɖ","ʈ","","","ˀt1a","ˀt","C"
"thatch_1","#0014-1","a","ə","0","u","o","o","0","x","x","x","x","x","","","v1:a:o:u","v1:a:o:u","V"
"thatch_2","#0014-2","l","l","l","l","l","l","l","x","x","x","x","x","","","l1","l","C"
"thatch_3","#0014-3","a","a","ɔ","o","o","o","o","x","x","x","x","x","","","ao2","ao2","V"
"thatch_4","#0014-4","ŋ","ŋ","ŋ","ŋ","ŋ","ŋ","0","x","x","x","x","x","","","ŋ1","ŋ","C"
"eat(v)_1","#0015-1","z","ɟ","s","s","j","ɟ","c","j","j","j","j","j","","","ɟ1","ɟ","C"
"eat(v)_2","#0015-2","u","o","u","o","o","i","o","o̠","o","o","o","o","","","o6(go:u/re:u/ju:i)","o6(go:u/re:u/ju:i)","V"
"eat(v)_3","#0015-3","m","m","m","m","m","m","ŋ","m","m","m","m","m","","","m2","m2","C"
"drunk_1","#0016-1","b","b","b","b","b","b","b","b","b","b","b","b","","","b1","b","C"
"drunk_2","#0016-2","u","u","u","i","u","u","u","u","u","u","u","u","","","u1a","u1a","V"
"drunk_3","#0016-3","l","l","0","l","l","l","0","l","l","l","l","l","","","l1","l","C"
"thigh_1","#0017-1","b","b","b","b","bh","b","b","b","b","b","b","b","","","b1(kh:bh)","b","C"
"thigh_2","#0017-2","u","u","u/i","i","u","u","u","u","u","u","u:","u","","","u1","u","V"
"thigh_3","#0017-3","l","l","l","l","l","l","l","l","l","l","l","l","","","l1","l","C"
"thigh_4","#0017-4","u","u:","i","i","u","u","u","u","u","u","0","u","","","u2b","u2b","V"
"ripe_1","#0018-1","x","x","b","b","b","b","b","b","b","b","bh","b","","","b1(kw:bh)","b","C"
