gloss,gorum,sora,remo,gutob,kharia,juang,gtaq,santali,mundari,ho,korwa,korku
cloud2,a,a,i,i,i,x,0,0,0,0,0,x
cloud3,r,r,r,r,r,x,r,r,r,r,l,x
cloud4,u,u,i,i,i,x,i,i,i,i,i,x
cloud5,ˀb,b,b,b,ˀb,x,g,m,m,m,Nb,x
leaf1,0,0,0,0,0,0,0,p,p,p,x,p
leaf2,o,o:,u,o,u,o,u,a,a:,a,x,a
leaf3,l,l,l,l,l,l,l,lh,lh,l,x,l
leaf4,a,a:,a,a,a,a,ia,a,a:o,a,x,a
leaf5,ʔ,0,kˀ,g,ʔ,ʔ,ʔ,0,0,0,x,ʔ
skin1,u,u,u,i,u,0,u,0,x,x,x,0
skin2,0,0,0,0,0,0,g,0,x,x,x,0
skin3,s,s,s,s,s,ch,s,a,x,x,x,s
skin4,a,a,a,a:,a,a,a,a,x,x,x,a
skin5,l,l,0,l,l,l,0,l,x,x,x,l
to laugh1,l,x,x,l,l,l,l,l,l,l,l,l
to laugh2,i,x,x,u,a,a,wa,a,a:,a,a,a:
to laugh3,0,x,x,0,0,0,0,n,n,n,n,N
to laugh4,ɖ,x,x,ɖ,ɖ,r,ʔ,ɖ,d,d,d,d
to laugh4,a,x,x,o,a,a,0,a,a:,a,a,0
forehead/front1,0,0,0,s,s,0,s,s,s,s,s,s
forehead/front2,a,a,u,u,o,ɛ,0,a,a:,a,a,a
forehead/front3,m,mm,m,m,m,m,0,m,m,m,m,mm
forehead/front4,a,a,ŋ,o,o,ɔ,æ,a,a:,a,a,a
forehead/front5,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,0,ŋ,ŋ,ŋ,ŋ,0
fear1,b,b,b,b,b,x,b,x,b,x,x,x
fear2,u,a,u,u,ɔ,x,0,x,o,x,x,x
fear3,t,t,t,t,t,x,ʈ,x,t,x,x,x
fear4,o,o:,u,o,ɔ,x,o,x,o,x,x,x
fear5,ŋ,ŋ,ŋ,ŋ,ŋ,x,ʔ,x,ŋ,x,x,x
to cook1,ɖ,d,ɖ,ɖ,ɖ,ɖ,ɖ,x,x,x,x,x
to cook2,e,i,o,o,e,ɛ,ue,x,x,x,x,x
to cook3,ɲ,ɲ,Ny,ɲ,ɲ,ɲ,0,x,x,x,x,x
snake1,b,x,b,b,b,x,b,b,b,b,b,b
snake2,u,x,u,ui,u,x,o,i,i,i,i:,i
snake3,ˀd,x,ʔ,0,ɲ,x,ʔ,ɲ,ŋ,ɲ,ŋ,ɲj
to plough1,x,x,s,s,s,s,s,s,s,s,s,x
to plough2,x,x,e,ui,i,i,i,i,iu,i:,i:,x
to lick1,z,ɟ,s,s,j,x,c,j,j,j,x,j
to lick2,a,a:,a,a,a,x,a,a,a,a,x,a
to lick3,l,l,l,l,l,x,0,l,l,l,x,l
to lick4,e,0,e,0,0,x,0,0,0,0,x,0
to lick4,ˀb,0,pˀ,0,0,x,0,0,0,0,0,0
to winnow1,g,g,x,g,g,g,g,g,g,g,g,g
to winnow2,u,u,x,i,u,u,o,u,u,u,u,u
to winnow3,m,m,x,m,m,ŋ/ɲ,ŋ,m,m,m,m,m
to sow1,b,b,b,b,b,b,b,b,b,b,b,x
to sow2,u,ü,i,i,i,i,i,i,i,i,i,x
to sow3,ˀd,d,ʔ,ɽ,ˀɖ,r,g,tˀ,dˀ,ɖ,ʈ,x
to boil1,a,ə,0,i,i,x,0,i,i,i,i,i
to boil2,s,s,s,s,s,x,s,s,s,s,s,s
to boil3,i,i,i,i,i,x,i,i,i,i,i,i
to boil3,n,n,ŋ,n,n,x,ŋ,n,n,n,ŋ,n
to cover1,ɖ,d,ɖ,ɖ,ɖ,ɖ,ɖ,d,d,d,x,d
to cover2,a,a,a,a,a,a,a,a,a/ā,a,x,a:
to cover3,l,l,l,l,l,n,0,l,l,l,x,l
to grab1,x,x,s,s,s,s,s,s,s,s,s,s
to grab2,x,x,o,o,u,ɔ,a,a,a:,a,a:,a:
to grab3,x,x,pˀ,b,ˀb,b,ʔ,pˀ,b,b,b,p
to bury1,t,t,t,t,t,t,x,t,t,x,t,x
to bury2,u,i,i,i,i,i,x,i,i,x,i:,x
to bury3,l,l,0,l,l,r,x,l,l,x,l,x
to stand1,t,t,t,t,t,t,th,t,t,t,x,ʈ
to stand2,i,a,o,u,u,ɔ,wa,e,i,i,x,e
to stand3,n,n,ŋ,n,ŋ,ŋ,N,ŋg,ŋ,ŋ,x,ng
to stand3,a,a,0,o,o,ɔ,0,o,u,u,x,e
to stand4,ŋ,ŋ,0,n,n,n,0,n,n,0,x,n
